study_id,cohort,year,country,actual_n,timepoint,timepoint_sd,group,variable,mean_pre,sd_pre,timepoint_pre,timepoint_distance,mean,sd,change,change_sd,ri,yi,vi,yi_d,vi_d,sei_d
Neuman_2008,Neuman_2008,2008,Sweeden,100,0,NA,Group 1,Body mass (kg),NA,NA,NA,NA,72,14,NA,NA,0.9,NA,NA,NA,NA,NA
Neuman_2008,Neuman_2008,2008,Sweeden,100,0,NA,Group 1,BMI,NA,NA,NA,NA,23,3,NA,NA,0.9,NA,NA,NA,NA,NA
Neuman_2008,Neuman_2008,2008,Sweeden,93,188.4,16.8,Group 1,Body mass (kg),72,14,0,188.4,82,17,NA,NA,0.9,0.13005312824819776,8.847349670571035e-5,6.903032284936186e-4,2.4925931383769892e-9,4.992587644074954e-5
Neuman_2008,Neuman_2008,2008,Sweeden,93,188.4,16.8,Group 1,BMI,23,3,0,188.4,26,4,NA,NA,0.9,0.12260232209233228,4.904806698537086e-5,6.507554251185366e-4,1.3818474432524548e-9,3.717320867577152e-5
Ohsawa_2021,Ohsawa_2021,2021,Japan,96,0,NA,combined,Body mass (kg),NA,NA,NA,NA,63.4,12.4,NA,NA,0.9,NA,NA,NA,NA,NA
Ohsawa_2021,Ohsawa_2021,2021,Japan,96,13.2,3,combined,Body mass (kg),63.4,12.4,0,13.2,65.2,15.3,NA,NA,0.9,0.027995607489427074,1.1152496712358586e-4,0.002120879355259627,6.400652383125911e-7,8.000407729063508e-4
Oiestad_2013,Aune/Risberg,2013,Norway,181,6,NA,combined,BMI,NA,NA,NA,NA,23.3,3,NA,NA,0.9,NA,NA,NA,NA,NA
Oiestad_2010,Aune/Risberg,2010,Norway,122,12,NA,combined,BMI,23.3,3,6,6,23.6,2.3,NA,NA,0.9,0.012793351459909542,2.859989222110928e-5,0.002132225243318257,7.944414505863689e-7,8.913144510139891e-4
Oiestad_2010,Aune/Risberg,2010,Norway,122,24,NA,combined,BMI,23.6,2.3,12,12,23.6,2.8,NA,NA,0.9,0,2.2634583052731205e-5,0,1.571846045328556e-7,3.964651365919273e-4
Oiestad_2010,Aune/Risberg,2010,Norway,122,148.8,14.4,combined,BMI,23.6,2.8,24,124.80000000000001,26.3,3.8,NA,NA,0.9,0.10832222715215441,3.3576549206031136e-5,8.679665637191859e-4,2.1557921652869677e-9,4.6430508992331404e-5
Risberg_2016,Aune/Risberg,2016,Norway,168,213.6,21.6,combined,BMI,26.3,3.8,148.8,64.79999999999998,26.7,4,NA,NA,0.9,0.015094626222484888,2.593783332122262e-5,2.3294176269266807e-4,6.177086505778138e-9,7.859444322455715e-5
Rodriguez_2022,Rodriguez_2022,2022,USA,32,0,NA,Group 1,BMI,NA,NA,NA,NA,24.8,4.8,NA,NA,0.9,NA,NA,NA,NA,NA
Rodriguez_2022,Rodriguez_2022,2022,USA,32,8.6,1.7,Group 1,BMI,24.8,4.8,0,8.6,25.4,5.1,NA,NA,0.9,0.023905520853554386,2.4452558985763083e-4,0.002779711727157487,3.3061869910442246e-6,0.0018182923282696391
Russell_2017,Russell_2017,2017,USA,64,1,NA,Group 1,BMI,NA,NA,NA,NA,24.5,3.1,NA,NA,0.9,NA,NA,NA,NA,NA
Russell_2017,Russell_2017,2017,USA,56,6,NA,Group 1,BMI,24.5,3.1,1,5,24.7,3.1,NA,NA,0.9,0.008130126083250089,5.673431659239305e-5,0.0016260252166500177,2.2693726636957222e-6,0.0015064437140815193
Snoj_2018,Snoj_2018,2018,slovenia,50,0,NA,combined,BMI,NA,NA,NA,NA,24,2.8,NA,NA,0.9,NA,NA,NA,NA,NA
Snoj_2018,Snoj_2018,2018,slovenia,50,69.6,9,combined,BMI,24,2.8,0,69.6,25.3,3.3,NA,NA,0.9,0.05275056538552896,6.466078554925446e-5,7.579104222058759e-4,1.3348193608232279e-8,1.1553438279677734e-4
Stanczak_2018,Stanczak_2018,2018,Poland,96,0,NA,combined,BMI,NA,NA,NA,NA,24.7,2.274963906952287,NA,NA,0.9,NA,NA,NA,NA,NA
Stanczak_2018,Stanczak_2018,2018,Poland,96,12,NA,combined,BMI,24.7,2.274963906952287,0,12,24.52,2.2548314829969573,NA,NA,0.9,-0.0073141325659208415,1.7645555285470272e-5,-6.095110471600701e-4,1.2253857837132134e-7,3.5005510762067354e-4
Williams_2022,Williams_2022,2022,USA,27,3,NA,Group 1,BMI,NA,NA,NA,NA,23.9,3.6,NA,NA,0.9,NA,NA,NA,NA,NA
Williams_2022,Williams_2022,2022,USA,27,3,NA,Group 1,Body mass (kg),NA,NA,NA,NA,71.1,14.1,NA,NA,0.9,NA,NA,NA,NA,NA
Williams_2022,Williams_2022,2022,USA,27,6,NA,Group 1,BMI,23.9,3.6,3,3,25.4,3.7,NA,NA,0.9,0.06087071508702591,1.634425393554227e-4,0.02029023836234197,1.8160282150602523e-5,0.004261488255363673
Williams_2022,Williams_2022,2022,USA,27,6,NA,Group 1,Body mass (kg),71.1,14.1,3,3,75.4,14,NA,NA,0.9,0.058719938204715404,2.7866832124924914e-4,0.019573312734905136,3.0963146805472125e-5,0.005564453864079756
Williams_2022,Williams_2022,2022,USA,27,24,NA,Group 1,BMI,25.4,3.7,6,18,25.8,3.8,NA,NA,0.9,0.015625317903081033,1.590240663983699e-4,8.680732168378351e-4,4.908150197480552e-7,7.005819150877756e-4
Williams_2022,Williams_2022,2022,USA,27,24,NA,Group 1,Body mass (kg),75.4,14,6,18,76.8,14.2,NA,NA,0.9,0.01839736513971588,2.5432472369432907e-4,0.0010220758410953267,7.849528509084231e-7,8.859756491622233e-4
Rotterud_2012,Rotterud_2012,2012,Norway,57,25.2,(24 to 60) range,Group 1,BMI,NA,NA,NA,NA,25.4,3.5,NA,NA,0.9,NA,NA,NA,NA,NA
